,PlayerType,YearsPlayed,WicketKeeper,BattingStyle,BowlingStyle,Team
Ben Laughlin,BOWLERS,2017,False,Right hand Bat,Right arm Fast medium,SRH
Abhimanyu Mithun,BOWLERS,"2017,2016",False,Right hand Bat,Right arm Medium,SRH
Mohammed Siraj,BOWLERS,2017,False,Right hand Bat,Right arm Fast,SRH
Mustafizur Rahman,BOWLERS,"2017,2016",False,Left hand Bat,Left arm Fast medium,SRH
Barinder Sran,BOWLERS,"2017,2016",False,Left hand Bat,Left arm Medium,SRH
Pravin Tambe,BOWLERS,2017,False,Right hand Bat,Legbreak,SRH
Eoin Morgan,BATTERS,"2016,2015",False,Left hand Bat,Right arm Medium,SRH
Tirumalasetti Suman,BATTERS,2016,False,Right hand Bat,Right arm Offbreak,SRH
Aditya Tare,BATTERS,2016,False,,,SRH
Ashish Reddy,ALLROUNDERS,"2016,2015,2014,2013",False,Right hand Bat,Right arm Medium,SRH
Trent Boult,BOWLERS,"2016,2015",False,Right hand Bat,Left arm Fast medium,SRH
Karn Sharma,BOWLERS,"2016,2015,2014,2013",False,Left hand Bat,Legbreak Googly,SRH
Kevin Pietersen,BATTERS,2015,False,Right hand Bat,Right arm Offbreak,SRH
KL Rahul,BATTERS,"2015,2014",True,Right hand Bat,,SRH
Ravi Bopara,ALLROUNDERS,2015,False,Right hand Bat,Right arm Medium,SRH
Parvez Rasool,ALLROUNDERS,"2015,2014",False,Right hand Bat,Right arm Offbreak,SRH
Padmanabhan Prasanth,ALLROUNDERS,"2015,2013",False,Left hand Bat,Slow Left arm Orthodox,SRH
Laxmi Shukla,ALLROUNDERS,2015,False,Right hand Bat,Right arm Medium,SRH
Hanuma Vihari,ALLROUNDERS,"2015,2013",False,Right hand Bat,Right arm Offbreak,SRH
Praveen Kumar,BOWLERS,2015,False,Right hand Bat,Right arm Medium,SRH
Chama Milind,BOWLERS,"2015,2014",False,Left hand Bat,Left arm Medium,SRH
Ishant Sharma,BOWLERS,"2015,2014,2013",False,Right hand Bat,Right arm Fast medium,SRH
Dale Steyn,BOWLERS,"2015,2014,2013",False,Right hand Bat,Right arm Fast,SRH
Srikkanth Anirudha,BATTERS,2014,False,Right hand Bat,,SRH
Aaron Finch,BATTERS,2014,False,Right hand Bat,Slow Left arm Orthodox,SRH
Manprit Juneja,BATTERS,2014,False,Right hand Bat,Right arm Offbreak,SRH
Amit Paunikar,BATTERS,2014,True,Right hand Bat,,SRH
Brendan Taylor,BATTERS,2014,True,Right hand Bat,Right arm Offbreak,SRH
Venugopal Rao,BATTERS,2014,False,Right hand Bat,Right arm Offbreak,SRH
Daren Sammy,ALLROUNDERS,"2014,2013",False,Right hand Bat,Right arm Medium,SRH
Irfan Pathan,ALLROUNDERS,2014,False,Left hand Bat,Left arm Medium fast,SRH
Amit Mishra,BOWLERS,"2014,2013",False,Right hand Bat,Legbreak,SRH
Prasanth Parameswaran,BOWLERS,2014,False,Right hand Bat,Left arm Medium,SRH
Kumar Sangakkara,BATTERS,2013,True,Left hand Bat,Right arm Offbreak,SRH
Quinton de Kock,BATTERS,2013,True,Left hand Bat,,SRH
Chris Lynn,BATTERS,2013,False,Right hand Bat,Slow Left arm Orthodox,SRH
Parthiv Patel,BATTERS,2013,True,Left hand Bat,Right arm Offbreak,SRH
Dwaraka Ravi Teja,BATTERS,2013,False,Right hand Bat,Legbreak Googly,SRH
Akshath Reddy,BATTERS,2013,False,Right hand Bat,Legbreak,SRH
Cameron White,BATTERS,2013,False,Right hand Bat,Legbreak Googly,SRH
Jean-Paul Duminy,ALLROUNDERS,2013,False,Left hand Bat,Right arm Offbreak,SRH
Thisara Perera,ALLROUNDERS,2013,False,Left hand Bat,Right arm Medium fast,SRH
Biplab Samantray,ALLROUNDERS,2013,False,Right hand Bat,Right arm Medium,SRH
Anand Rajan,BOWLERS,2013,False,Right hand Bat,Right arm Medium,SRH
Ankit Sharma,BOWLERS,2013,False,Left hand Bat,Slow Left arm Orthodox,SRH
Nathan McCullum,BOWLERS,2013,False,Right hand Bat,Right arm Offbreak,SRH
Clint McKay,BOWLERS,2013,False,Right hand Bat,Right arm Fast medium,SRH
Sachin Rana,BOWLERS,2013,False,Right hand Bat,Right arm Medium fast,SRH
Sudeep Tyagi,BOWLERS,2013,False,Right hand Bat,Right arm Medium,SRH
Veer Pratap Singh,BOWLERS,2013,False,Right hand Bat,Right arm Medium,SRH
Thalaivan Sargunam,BOWLERS,2013,False,Right hand Bat,Right arm Offbreak,SRH
